step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,12.403688,29.14,54.76,29.14,17.75,22.86,0.003000,89.6
200,6.458480,38.78,56.87,38.78,29.39,32.91,0.003000,176.3
300,5.493567,49.82,64.98,49.82,41.91,44.94,0.003000,266.2
400,4.837856,54.41,64.51,54.41,45.89,48.47,0.003000,357.3
500,4.316112,59.46,68.63,59.46,52.97,56.34,0.003000,450.2
600,3.986209,59.58,68.51,59.58,52.89,55.95,0.003000,540.2
700,3.786920,60.87,69.68,60.87,53.98,56.71,0.003000,630.6
800,3.578323,62.16,70.27,62.16,55.58,58.63,0.003000,721.3
900,3.361349,63.81,72.39,63.81,58.25,60.82,0.003000,813.9
1000,3.087593,61.93,70.27,61.93,55.90,58.80,0.003000,904.9
1100,2.998215,61.93,70.27,61.93,55.81,58.54,0.003000,995.9
1200,2.880595,62.98,71.09,62.98,56.25,59.46,0.003000,1086.6
1300,2.724183,62.63,72.15,62.63,57.51,59.76,0.003000,1175.3
1400,2.762232,61.69,70.62,61.69,55.83,58.09,0.003000,1266.6
1500,2.872115,62.98,72.50,62.98,57.10,59.18,0.003000,1359.7
1600,2.755903,63.10,72.62,63.10,57.42,60.30,0.003000,1449.7
1700,2.820670,61.22,70.74,61.22,55.31,57.88,0.003000,1541.8
1800,2.667170,62.04,71.56,62.04,56.13,58.70,0.003000,1633.7
1900,2.574055,61.81,70.86,61.81,56.30,58.70,0.003000,1725.9
2000,2.455765,61.22,71.21,61.22,56.13,58.22,0.003000,1818.4
2100,2.653138,60.75,70.51,60.75,55.19,57.92,0.003000,1909.2
2200,2.573094,62.51,71.21,62.51,57.35,59.76,0.003000,1998.2
2300,2.639785,61.46,70.86,61.46,55.58,58.15,0.003000,2090.8
2400,2.481303,62.75,71.68,62.75,56.96,60.18,0.003000,2180.2
2500,2.336274,61.34,70.98,61.34,55.70,58.11,0.003000,2269.7
2600,2.318586,61.93,71.68,61.93,55.97,58.70,0.003000,2357.9
2700,2.445642,62.04,71.56,62.04,56.75,59.32,0.003000,2446.0
2800,2.369630,61.10,70.15,61.10,55.74,58.15,0.003000,2534.1
2900,2.409894,61.46,72.15,61.46,55.60,58.34,0.003000,2623.1
3000,2.241391,61.46,71.21,61.46,55.10,57.83,0.003000,2709.1
3100,2.329258,60.16,69.80,60.16,54.46,56.55,0.003000,2798.5
3200,2.202204,61.81,71.21,61.81,56.22,58.63,0.003000,2885.8
3300,2.310712,60.52,70.98,60.52,54.85,57.10,0.003000,2974.6
3400,2.023433,60.87,71.09,60.87,55.13,57.37,0.003000,3064.3
3500,2.266219,60.99,70.39,60.99,55.42,57.83,0.003000,3154.2
3600,2.226713,61.81,71.80,61.81,55.56,58.78,0.003000,3246.1
3700,2.182529,60.87,71.45,60.87,55.35,57.76,0.003000,3335.1
3800,2.169865,61.10,72.62,61.10,54.90,57.78,0.003000,3426.5
3900,2.339340,61.34,72.27,61.34,55.79,57.88,0.003000,3518.9
4000,2.254854,59.69,70.15,59.69,54.02,56.59,0.003000,3609.9
4100,2.052603,59.93,70.27,59.93,53.89,56.30,0.003000,3701.5
4200,2.092254,59.81,70.04,59.81,53.57,56.13,0.003000,3790.9
4300,2.037511,60.05,70.04,60.05,53.86,56.75,0.003000,3881.0
4400,1.895719,59.81,69.80,59.81,53.70,56.59,0.003000,3971.0
4500,1.895213,59.81,70.62,59.81,53.74,56.48,0.003000,4059.2
4600,2.204394,60.16,70.27,60.16,53.99,56.73,0.003000,4151.4
4700,2.011222,60.87,70.98,60.87,55.31,57.88,0.003000,4241.5
4800,2.171458,59.34,69.68,59.34,54.02,56.43,0.003000,4333.4
4900,1.934674,60.52,70.86,60.52,54.05,56.46,0.003000,4422.9
5000,1.790182,60.75,71.21,60.75,54.57,57.30,0.003000,4509.1
5100,2.058749,60.40,70.39,60.40,54.30,56.87,0.003000,4599.2
5200,1.901059,61.22,71.56,61.22,55.49,57.58,0.003000,4686.3
5300,2.094261,61.46,71.33,61.46,55.23,57.81,0.003000,4777.6
5400,1.918877,59.69,69.80,59.69,53.78,56.20,0.003000,4865.3
5500,1.930411,59.58,69.68,59.58,53.62,56.36,0.003000,4954.3
5600,1.861030,60.63,71.09,60.63,54.43,56.84,0.003000,5043.1
5700,1.918115,60.63,71.09,60.63,54.59,57.49,0.003000,5131.5
5800,2.037360,60.05,70.27,60.05,53.67,56.24,0.003000,5222.0
5900,1.940130,60.05,70.39,60.05,53.70,56.11,0.003000,5312.1
6000,2.000688,60.28,70.62,60.28,54.50,57.07,0.003000,5404.5
6100,1.941399,60.28,70.98,60.28,54.38,56.64,0.003000,5495.6
6200,2.033655,60.52,70.15,60.52,54.75,57.00,0.003000,5586.1
6300,1.945832,60.87,70.86,60.87,55.51,57.60,0.003000,5674.9
6400,1.744891,60.16,70.86,60.16,54.22,56.64,0.003000,5763.2
6500,1.797331,60.63,70.98,60.63,55.10,57.35,0.003000,5854.6
6600,1.737002,60.87,70.98,60.87,54.34,56.75,0.003000,5942.9
6700,1.877450,60.75,70.62,60.75,54.82,57.40,0.003000,6032.4
6800,1.932211,60.52,70.62,60.52,54.50,56.91,0.003000,6120.0
6900,1.806513,61.10,70.27,61.10,54.94,57.35,0.003000,6210.7
