step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,14.507215,25.93,52.17,25.93,14.90,15.89,0.003000,51.8
200,8.629956,34.01,56.37,34.01,22.89,25.30,0.003000,103.9
300,7.449456,40.99,62.89,40.99,29.29,31.80,0.003000,150.4
400,6.851088,46.27,65.37,46.27,36.06,38.55,0.003000,198.1
500,6.528786,50.31,66.93,50.31,40.53,43.83,0.003000,248.2
600,5.799747,50.78,65.99,50.78,40.91,43.60,0.003000,297.6
700,5.817626,54.19,69.72,54.19,45.87,47.52,0.003000,346.9
800,5.412063,54.04,70.34,54.04,45.77,48.66,0.003000,394.8
900,5.261169,54.97,71.74,54.97,47.31,49.17,0.003000,444.2
1000,5.398201,55.90,71.58,55.90,47.57,51.29,0.003000,493.6
1100,5.314516,53.88,71.58,53.88,45.80,49.53,0.003000,546.7
1200,5.023800,52.64,70.03,52.64,44.67,47.16,0.003000,595.7
1300,5.021097,54.04,71.27,54.04,45.64,48.76,0.003000,644.7
1400,4.860680,54.04,71.27,54.04,45.69,49.22,0.003000,693.1
1500,5.114254,55.59,71.43,55.59,47.05,50.78,0.003000,744.4
1600,4.441782,54.19,70.19,54.19,45.96,49.07,0.003000,794.0
1700,4.753283,53.57,69.57,53.57,45.02,48.34,0.003000,843.4
1800,4.757534,53.26,70.96,53.26,44.47,47.16,0.003000,893.6
1900,4.663852,53.42,71.74,53.42,44.97,47.25,0.003000,943.3
2000,4.483155,53.88,70.03,53.88,45.39,48.29,0.003000,991.3
2100,4.525341,53.11,70.19,53.11,45.04,47.73,0.003000,1040.2
2200,4.612908,52.80,70.65,52.80,45.02,47.93,0.003000,1089.6
2300,4.780700,52.95,69.72,52.95,45.71,47.78,0.003000,1139.4
2400,4.493611,54.35,71.58,54.35,47.05,49.33,0.003000,1188.4
2500,4.773725,52.02,70.03,52.02,43.89,46.17,0.003000,1238.6
2600,4.413141,52.95,70.65,52.95,45.29,47.57,0.003000,1287.7
2700,4.687040,52.95,69.72,52.95,44.93,47.20,0.003000,1337.6
2800,4.088777,54.66,71.89,54.66,47.00,49.48,0.003000,1384.3
2900,4.378529,53.88,70.65,53.88,47.11,49.17,0.003000,1432.5
3000,4.470633,53.57,70.34,53.57,45.60,48.29,0.003000,1481.0
3100,4.786560,53.57,70.50,53.57,45.92,48.40,0.003000,1530.5
3200,4.442394,52.80,69.25,52.80,44.47,47.36,0.003000,1579.0
3300,4.334434,52.48,68.94,52.48,44.67,46.95,0.003000,1626.5
3400,4.281145,53.11,69.72,53.11,45.39,47.88,0.003000,1674.6
3500,4.553047,52.95,69.88,52.95,44.97,47.88,0.003000,1723.6
3600,4.252572,52.64,68.63,52.64,44.97,47.25,0.003000,1771.5
3700,4.226329,52.48,68.79,52.48,44.15,46.42,0.003000,1819.4
3800,4.220879,52.80,70.03,52.80,44.31,47.00,0.003000,1866.9
3900,4.029356,52.48,69.10,52.48,44.19,46.68,0.003000,1914.1
4000,4.153003,52.33,69.57,52.33,44.47,47.16,0.003000,1961.6
4100,4.320208,52.33,68.79,52.33,44.56,47.25,0.003000,2009.7
4200,4.282055,52.17,69.25,52.17,44.54,46.60,0.003000,2057.9
4300,4.342486,52.02,68.17,52.02,43.32,46.42,0.003000,2106.2
4400,4.319678,51.71,67.86,51.71,43.57,46.27,0.003000,2154.6
4500,4.289104,52.33,69.57,52.33,43.78,46.27,0.003000,2203.3
4600,4.034979,51.86,69.10,51.86,43.36,46.06,0.003000,2251.4
4700,4.457470,51.09,67.55,51.09,42.65,45.13,0.003000,2300.4
4800,3.716000,52.64,69.57,52.64,45.04,47.31,0.003000,2347.1
4900,4.132177,52.64,69.57,52.64,45.13,47.20,0.003000,2395.1
5000,3.997283,51.40,68.01,51.40,43.73,46.01,0.003000,2442.9
5100,4.184824,52.02,69.10,52.02,44.35,46.63,0.003000,2491.3
5200,4.296604,52.48,69.25,52.48,44.19,46.89,0.003000,2540.1
5300,4.422457,52.64,69.25,52.64,44.51,46.79,0.003000,2589.7
5400,3.985005,53.26,70.03,53.26,45.85,48.34,0.003000,2637.6
5500,3.915454,52.95,69.57,52.95,45.07,47.56,0.003000,2684.9
5600,3.855165,53.26,70.50,53.26,45.44,47.93,0.003000,2732.2
5700,4.159375,53.26,69.88,53.26,45.34,47.83,0.003000,2780.2
5800,4.589170,52.33,69.25,52.33,43.94,46.42,0.003000,2830.1
5900,4.400408,52.48,69.57,52.48,44.31,46.79,0.003000,2879.4
6000,4.153213,52.80,69.88,52.80,44.15,47.05,0.003000,2927.8
6100,4.082702,51.86,69.10,51.86,43.48,46.17,0.003000,2975.5
6200,3.831369,52.80,70.19,52.80,44.56,47.25,0.003000,3022.7
6300,3.898025,51.55,69.57,51.55,43.32,46.01,0.003000,3070.6
6400,4.076261,52.48,69.72,52.48,44.47,46.95,0.003000,3118.5
6500,3.956008,51.71,69.25,51.71,43.06,45.76,0.003000,3166.1
6600,4.198213,53.11,70.19,53.11,44.77,47.67,0.003000,3214.3
6700,3.823565,52.64,69.88,52.64,43.87,46.99,0.003000,3261.2
6800,3.939866,52.02,69.88,52.02,43.85,46.33,0.003000,3308.6
6900,4.188889,53.11,70.81,53.11,44.24,47.35,0.003000,3357.0
7000,4.127326,51.55,69.10,51.55,43.36,46.06,0.003000,3405.4
