step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,15.123181,24.07,51.55,24.07,13.05,14.07,0.003000,48.4
200,8.535989,35.25,57.30,35.25,24.46,26.93,0.003000,96.9
300,7.610269,44.10,63.51,44.10,34.80,36.44,0.003000,143.4
400,7.059986,49.84,67.55,49.84,40.62,43.51,0.003000,190.9
500,6.753744,53.26,69.10,53.26,43.78,46.89,0.003000,239.2
600,6.075884,56.06,70.34,56.06,48.45,51.55,0.003000,285.4
700,6.046225,56.52,71.58,56.52,48.46,51.54,0.003000,332.3
800,5.613168,56.99,73.45,56.99,49.22,52.12,0.003000,378.9
900,5.400601,58.54,73.14,58.54,50.73,53.43,0.003000,426.1
1000,5.494647,56.37,71.43,56.37,49.53,52.23,0.003000,473.9
1100,5.459807,58.23,73.45,58.23,50.98,53.26,0.003000,521.7
1200,5.230723,58.07,73.91,58.07,51.14,53.83,0.003000,568.8
1300,5.162056,58.85,73.29,58.85,51.71,55.43,0.003000,616.1
1400,5.071245,58.85,73.14,58.85,53.11,56.02,0.003000,663.3
1500,5.237189,60.56,73.76,60.56,54.87,57.56,0.003000,711.4
1600,4.544779,58.39,73.14,58.39,51.45,54.77,0.003000,758.4
1700,4.833161,58.07,72.20,58.07,51.24,54.15,0.003000,806.0
1800,4.866195,55.90,72.98,55.90,48.86,52.18,0.003000,853.8
1900,4.776924,57.76,72.98,57.76,51.04,53.94,0.003000,901.0
2000,4.606895,59.01,74.84,59.01,52.69,54.96,0.003000,948.3
2100,4.682103,56.83,72.67,56.83,50.41,52.90,0.003000,996.2
2200,4.752790,57.61,73.60,57.61,50.98,53.26,0.003000,1044.0
2300,4.993222,59.16,74.53,59.16,52.07,54.56,0.003000,1092.2
2400,4.639717,58.23,74.22,58.23,50.62,53.54,0.003000,1140.2
2500,4.886176,56.68,72.98,56.68,49.59,52.49,0.003000,1188.9
2600,4.542699,56.68,73.45,56.68,49.38,52.07,0.003000,1236.4
2700,4.821357,57.45,73.91,57.45,49.74,52.64,0.003000,1285.0
2800,4.235621,57.45,73.45,57.45,50.26,52.96,0.003000,1331.8
2900,4.527819,57.45,72.98,57.45,50.98,53.26,0.003000,1379.5
3000,4.580926,56.83,71.89,56.83,50.88,52.74,0.003000,1427.6
3100,4.874527,56.68,73.14,56.68,49.48,52.39,0.003000,1476.3
3200,4.547368,58.07,73.91,58.07,50.83,54.15,0.003000,1523.6
3300,4.423657,57.61,72.83,57.61,49.90,52.81,0.003000,1570.7
3400,4.369179,57.14,72.05,57.14,49.33,52.23,0.003000,1617.6
3500,4.646453,57.76,73.60,57.76,50.83,53.32,0.003000,1665.7
3600,4.332472,57.76,72.67,57.76,50.88,53.15,0.003000,1712.8
3700,4.325867,57.61,73.29,57.61,50.93,53.00,0.003000,1759.9
3800,4.310706,58.07,73.76,58.07,50.83,53.93,0.003000,1806.8
3900,4.132311,56.99,72.20,56.99,49.90,52.16,0.003000,1853.7
4000,4.252477,57.45,73.14,57.45,50.26,52.74,0.003000,1900.4
4100,4.391135,59.78,75.00,59.78,52.75,55.87,0.003000,1947.6
4200,4.388729,58.07,74.07,58.07,50.88,53.57,0.003000,1995.1
4300,4.476813,57.14,72.83,57.14,50.57,53.25,0.003000,2042.5
4400,4.482308,57.76,73.60,57.76,51.09,53.98,0.003000,2089.9
4500,4.479848,55.90,72.36,55.90,48.03,50.52,0.003000,2137.4
4600,4.205115,57.45,73.14,57.45,50.36,52.63,0.003000,2183.8
