step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
4700,4.577766,57.45,72.36,57.45,49.95,53.04,0.003000,2231.8
4800,3.829428,56.99,73.14,56.99,49.07,51.76,0.003000,2277.2
4900,4.224263,55.43,72.52,55.43,48.25,50.10,0.003000,2323.8
5000,4.086189,56.06,71.58,56.06,48.45,51.35,0.003000,2370.6
5100,4.273103,56.68,72.83,56.68,49.17,52.07,0.003000,2418.2
5200,4.378228,57.14,72.98,57.14,49.48,52.37,0.003000,2465.5
5300,4.507811,56.99,72.98,56.99,49.64,52.11,0.003000,2513.2
5400,4.059874,57.76,73.60,57.76,50.31,52.99,0.003000,2560.1
5500,3.996057,57.14,72.67,57.14,49.43,52.33,0.003000,2606.2
5600,3.932100,57.14,73.14,57.14,49.79,52.48,0.003000,2652.6
5700,4.229271,56.83,72.98,56.83,49.28,51.76,0.003000,2700.1
5800,4.650282,56.83,73.60,56.83,49.28,51.97,0.003000,2748.5
5900,4.469454,56.52,73.60,56.52,49.02,51.50,0.003000,2796.5
6000,4.214328,57.14,73.14,57.14,49.74,52.22,0.003000,2843.9
6100,4.139209,57.45,73.29,57.45,50.15,52.63,0.003000,2891.3
6200,3.897256,56.52,72.83,56.52,48.92,51.19,0.003000,2937.6
6300,3.962674,56.21,73.29,56.21,48.35,51.03,0.003000,2984.6
6400,4.136393,56.06,72.83,56.06,48.40,50.88,0.003000,3031.9
6500,4.011547,56.37,72.67,56.37,48.55,51.03,0.003000,3078.6
6600,4.251623,56.52,73.14,56.52,48.71,51.19,0.003000,3126.1
6700,3.883968,57.30,73.76,57.30,49.59,52.27,0.003000,3172.8
6800,3.993381,57.14,73.45,57.14,49.48,52.16,0.003000,3219.4
6900,4.263014,57.30,73.60,57.30,49.59,52.27,0.003000,3266.8
7000,4.179664,56.68,72.98,56.68,49.28,51.55,0.003000,3313.8
7100,3.795438,56.83,73.60,56.83,49.54,51.81,0.003000,3360.3
7200,4.230965,56.99,73.60,56.99,49.33,52.01,0.003000,3407.7
7300,4.294546,56.06,73.60,56.06,48.09,50.98,0.003000,3455.8
7400,3.864173,57.30,74.22,57.30,49.90,52.37,0.003000,3502.1
7500,4.098467,56.83,73.60,56.83,48.86,51.97,0.003000,3549.0
