step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,14.289965,24.69,51.71,24.69,13.64,14.64,0.003000,38.5
200,8.569766,34.47,59.63,34.47,21.52,25.53,0.003000,77.0
300,7.312570,42.39,63.35,42.39,30.64,33.33,0.003000,113.4
400,6.787620,50.31,66.61,50.31,40.29,44.01,0.003000,150.9
500,6.507405,52.64,68.63,52.64,42.98,46.07,0.003000,189.1
600,5.857932,53.57,67.24,53.57,45.09,47.57,0.003000,226.0
700,5.753605,55.43,70.34,55.43,47.11,49.79,0.003000,263.3
800,5.378218,55.75,70.50,55.75,47.62,50.31,0.003000,300.2
900,5.273946,56.52,70.65,56.52,49.59,51.86,0.003000,337.1
1000,5.352395,58.23,73.91,58.23,50.57,53.06,0.003000,375.3
1100,5.287078,56.21,70.81,56.21,48.81,50.88,0.003000,413.4
1200,5.051717,56.68,72.52,56.68,48.81,51.71,0.003000,451.2
1300,5.097750,55.12,70.81,55.12,46.84,50.16,0.003000,489.2
1400,4.936866,56.06,71.58,56.06,48.09,51.19,0.003000,527.0
1500,5.161125,56.21,73.14,56.21,49.01,51.51,0.003000,565.5
1600,4.510673,56.83,72.67,56.83,50.00,52.07,0.003000,602.1
1700,4.724902,54.97,72.20,54.97,47.62,49.90,0.003000,639.8
1800,4.803791,54.97,72.83,54.97,47.68,49.74,0.003000,677.8
1900,4.727125,55.90,73.29,55.90,48.81,50.67,0.003000,715.4
2000,4.508343,53.11,70.96,53.11,45.13,47.83,0.003000,752.5
2100,4.656511,54.97,72.67,54.97,47.73,50.21,0.003000,790.4
2200,4.683290,54.81,72.20,54.81,47.40,49.90,0.003000,828.5
2300,4.889603,54.04,71.12,54.04,46.31,49.01,0.003000,867.3
2400,4.508230,54.19,71.89,54.19,46.84,49.74,0.003000,905.1
2500,4.808385,55.12,72.20,55.12,47.24,49.95,0.003000,943.6
2600,4.460330,54.35,72.20,54.35,46.36,49.06,0.003000,981.3
2700,4.742024,54.19,70.50,54.19,46.63,49.12,0.003000,1019.9
2800,4.149665,54.50,70.96,54.50,46.67,49.58,0.003000,1057.9
2900,4.422597,53.42,71.27,53.42,45.90,48.18,0.003000,1096.5
3000,4.558947,54.04,71.89,54.04,46.06,48.55,0.003000,1134.6
3100,4.806631,54.66,72.05,54.66,47.25,49.74,0.003000,1173.6
3200,4.517634,52.64,69.88,52.64,45.07,47.77,0.003000,1211.6
3300,4.361599,54.66,71.74,54.66,47.51,49.79,0.003000,1249.3
3400,4.302840,54.35,71.89,54.35,46.41,48.91,0.003000,1286.8
3500,4.575248,54.66,71.43,54.66,46.83,49.53,0.003000,1325.3
3600,4.287047,53.57,72.20,53.57,45.67,48.18,0.003000,1362.6
3700,4.287938,53.73,71.43,53.73,45.67,49.01,0.003000,1400.0
3800,4.258858,54.35,71.74,54.35,46.51,49.64,0.003000,1437.6
3900,4.059942,54.04,71.27,54.04,45.11,49.06,0.003000,1474.1
4000,4.183994,53.88,71.89,53.88,46.52,49.22,0.003000,1511.3
4100,4.324074,53.88,71.43,53.88,45.64,48.76,0.003000,1549.0
4200,4.306103,54.19,72.36,54.19,46.20,49.12,0.003000,1588.0
4300,4.342044,54.97,72.67,54.97,47.24,49.74,0.003000,1627.5
4400,4.338064,53.26,72.05,53.26,45.32,47.40,0.003000,1667.2
4500,4.314303,53.88,72.05,53.88,46.11,48.60,0.003000,1706.5
4600,4.046940,54.35,72.67,54.35,46.73,48.81,0.003000,1745.3
4700,4.475488,54.19,71.89,54.19,46.41,49.12,0.003000,1785.6
4800,3.729394,54.97,72.36,54.97,47.24,49.53,0.003000,1823.4
4900,4.151520,53.42,71.74,53.42,45.90,48.18,0.003000,1862.4
5000,4.031283,54.66,72.20,54.66,47.35,49.43,0.003000,1901.2
5100,4.196441,53.57,71.89,53.57,46.36,48.65,0.003000,1943.3
5200,4.316142,53.88,72.36,53.88,46.15,48.86,0.003000,1983.0
5300,4.438419,53.26,71.58,53.26,45.74,48.44,0.003000,2023.0
5400,3.998938,54.04,71.58,54.04,46.11,48.81,0.003000,2061.7
5500,3.934152,53.88,71.12,53.88,46.20,48.49,0.003000,2100.1
5600,3.867538,54.04,71.12,54.04,47.08,49.38,0.003000,2138.4
5700,4.171895,53.73,71.27,53.73,46.30,48.80,0.003000,2177.9
5800,4.597608,53.26,70.81,53.26,45.32,47.82,0.003000,2218.7
5900,4.418192,54.04,71.12,54.04,46.67,49.38,0.003000,2258.9
6000,4.161386,53.57,71.58,53.57,46.20,48.49,0.003000,2298.4
6100,4.096437,53.42,71.58,53.42,45.16,48.07,0.003000,2337.6
6200,3.848506,53.57,71.89,53.57,46.15,48.44,0.003000,2375.9
6300,3.907265,54.19,71.43,54.19,46.25,48.96,0.003000,2414.5
6400,4.082281,54.19,71.27,54.19,46.30,49.01,0.003000,2453.8
6500,3.968393,54.19,72.05,54.19,46.30,49.01,0.003000,2492.6
6600,4.209667,54.04,71.12,54.04,46.14,49.27,0.003000,2532.2
6700,3.832413,54.04,71.43,54.04,46.41,49.12,0.003000,2570.6
6800,3.958078,53.57,71.58,53.57,46.20,48.49,0.003000,2609.4
6900,4.216140,53.42,71.12,53.42,45.79,48.28,0.003000,2648.9
7000,4.140590,54.19,72.05,54.19,46.73,49.22,0.003000,2688.4
