step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,4.982203,48.91,80.12,80.75,58.70,48.91,0.003000,54.1
200,2.158365,54.19,83.39,83.39,62.11,54.19,0.003000,108.5
300,1.498227,54.19,84.01,83.07,63.98,54.19,0.003000,161.1
400,1.209374,57.30,84.47,84.63,65.22,57.30,0.003000,214.5
500,1.030656,54.97,84.63,83.23,64.75,54.97,0.003000,267.7
600,0.901800,52.95,82.14,79.81,65.37,52.95,0.003000,319.7
700,0.809974,57.30,84.16,83.39,66.61,57.30,0.003000,372.6
800,0.714020,56.06,84.16,81.06,67.39,56.06,0.003000,425.0
900,0.671244,55.75,83.07,84.01,65.84,55.75,0.003000,477.9
1000,0.647033,56.21,82.92,83.07,65.06,56.21,0.003000,531.5
1100,0.601398,55.59,84.01,81.52,65.37,55.59,0.003000,584.6
1200,0.559538,56.52,84.63,82.92,66.46,56.52,0.003000,637.9
1300,0.514029,55.75,84.47,82.61,64.91,55.75,0.003000,691.2
1400,0.497687,56.21,84.32,83.23,65.53,56.21,0.003000,744.3
1500,0.486084,56.21,84.16,83.23,64.75,56.21,0.003000,798.4
1600,0.433433,55.75,83.39,81.52,65.53,55.75,0.003000,851.1
1700,0.433724,56.52,83.54,82.76,65.99,56.52,0.003000,904.2
1800,0.432699,56.21,84.16,82.76,65.22,56.21,0.003000,957.5
1900,0.406811,55.75,82.45,81.52,65.22,55.75,0.003000,1011.1
2000,0.380645,56.21,82.45,81.83,66.77,56.21,0.003000,1064.1
2100,0.384915,54.50,82.76,82.45,64.44,54.50,0.003000,1117.5
2200,0.374821,56.52,83.23,83.54,65.99,56.52,0.003000,1170.9
2300,0.398398,55.90,82.76,81.68,66.15,55.90,0.003000,1224.6
2400,0.338823,55.75,84.16,81.37,65.53,55.75,0.003000,1277.4
2500,0.350084,55.59,83.70,82.76,65.68,55.59,0.003000,1331.4
2600,0.336023,56.21,83.07,82.61,65.99,56.21,0.003000,1384.6
2700,0.324174,55.12,82.14,82.45,64.91,55.12,0.003000,1438.5
2800,0.317832,55.90,82.45,81.52,66.93,55.90,0.003000,1491.4
2900,0.313287,54.50,82.30,81.83,64.91,54.50,0.003000,1544.6
