step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
3000,0.312100,54.66,83.23,82.61,65.37,54.66,0.003000,1598.5
3100,0.311357,56.37,82.61,83.07,65.84,56.37,0.003000,1652.9
3200,0.308380,55.90,82.76,83.23,65.68,55.90,0.003000,1706.5
3300,0.311152,55.75,83.39,82.76,66.15,55.75,0.003000,1759.5
3400,0.288328,54.81,82.61,82.76,64.60,54.81,0.003000,1812.5
3500,0.297554,55.59,82.61,82.45,65.37,55.59,0.003000,1866.5
3600,0.259480,57.14,82.30,82.76,65.84,57.14,0.003000,1919.6
3700,0.245749,56.52,83.70,83.07,65.53,56.52,0.003000,1972.8
3800,0.231534,56.52,83.23,83.07,65.99,56.52,0.003000,2026.0
3900,0.217093,56.06,82.92,82.92,66.30,56.06,0.003000,2078.8
4000,0.210948,56.83,82.92,83.07,66.93,56.83,0.003000,2132.2
4100,0.218384,56.06,82.92,82.30,66.61,56.06,0.003000,2185.5
4200,0.201223,56.52,82.61,82.92,66.30,56.52,0.003000,2238.5
4300,0.199263,56.83,82.61,82.14,67.70,56.83,0.003000,2291.7
4400,0.194082,56.52,82.14,82.30,66.61,56.52,0.003000,2345.2
4500,0.185604,56.68,82.30,81.99,66.15,56.68,0.003000,2399.2
4600,0.183136,56.99,82.45,82.45,66.61,56.99,0.003000,2452.2
4700,0.183625,57.30,82.14,81.99,67.70,57.30,0.003000,2506.0
4800,0.160371,56.83,81.99,81.68,67.24,56.83,0.003000,2558.5
4900,0.181573,57.92,82.14,82.45,67.55,57.92,0.003000,2612.0
5000,0.172400,57.14,82.92,82.14,66.61,57.14,0.003000,2664.3
5100,0.178196,57.45,82.61,81.99,66.77,57.45,0.003000,2717.7
5200,0.162519,58.07,82.61,82.45,67.55,58.07,0.003000,2771.5
5300,0.166037,57.61,83.23,82.92,67.08,57.61,0.003000,2825.6
5400,0.158891,57.30,82.76,82.61,66.93,57.30,0.003000,2878.6
5500,0.154058,57.45,83.39,82.92,66.93,57.45,0.003000,2932.0
5600,0.162435,57.45,82.76,82.61,67.08,57.45,0.003000,2985.1
5700,0.152407,57.30,82.30,82.45,67.24,57.30,0.003000,3038.5
5800,0.159005,57.61,82.92,82.76,67.39,57.61,0.003000,3092.4
5900,0.160711,57.61,82.92,83.23,67.39,57.61,0.003000,3146.2
6000,0.150710,56.99,82.61,82.45,66.30,56.99,0.003000,3199.3
6100,0.142889,57.45,83.07,83.23,66.93,57.45,0.003000,3252.1
6200,0.148032,57.61,83.07,83.39,66.77,57.61,0.003000,3304.9
6300,0.150474,58.07,83.39,82.76,66.93,58.07,0.003000,3357.8
6400,0.146763,58.23,83.23,82.92,67.39,58.23,0.003000,3411.3
6500,0.140147,57.76,83.23,82.92,67.39,57.76,0.003000,3464.0
6600,0.139910,57.61,82.92,82.92,67.08,57.61,0.003000,3517.3
6700,0.130424,57.14,82.76,83.07,66.61,57.14,0.003000,3569.7
6800,0.133767,57.45,82.14,82.45,67.24,57.45,0.003000,3622.8
6900,0.143521,57.76,82.76,82.45,68.01,57.76,0.003000,3675.8
7000,0.131011,56.83,82.45,82.61,67.39,56.83,0.003000,3729.1
7100,0.133660,58.07,83.23,82.92,67.55,58.07,0.003000,3781.5
7200,0.116377,57.92,83.07,82.92,67.55,57.92,0.003000,3834.9
7300,0.132001,58.39,83.85,83.23,67.24,58.39,0.003000,3888.3
7400,0.124318,58.07,82.92,82.76,67.39,58.07,0.003000,3941.1
7500,0.123654,57.45,82.61,81.68,67.08,57.45,0.003000,3994.1
7600,0.119696,57.92,83.07,82.61,67.24,57.92,0.003000,4047.0
7700,0.123528,57.14,82.92,82.45,66.61,57.14,0.003000,4100.4
7800,0.129756,57.76,82.92,82.30,66.93,57.76,0.003000,4153.9
7900,0.120264,56.52,82.45,82.30,66.15,56.52,0.003000,4207.4
8000,0.129626,56.99,82.61,82.76,65.84,56.99,0.003000,4260.4
8100,0.119119,57.30,82.61,82.92,66.61,57.30,0.003000,4313.0
8200,0.123379,57.92,83.23,83.39,66.93,57.92,0.003000,4366.3
8300,0.120532,57.61,82.76,82.92,66.46,57.61,0.003000,4419.8
8400,0.131069,57.61,82.76,82.92,66.46,57.61,0.003000,4473.6
8500,0.104840,57.14,82.61,82.61,67.08,57.14,0.003000,4526.0
8600,0.127092,57.30,82.61,82.45,66.61,57.30,0.003000,4578.8
8700,0.113194,58.07,82.30,81.99,67.70,58.07,0.003000,4631.7
8800,0.113900,56.21,81.99,81.83,66.46,56.21,0.003000,4684.7
8900,0.107568,56.99,82.61,82.45,66.46,56.99,0.003000,4736.5
9000,0.109150,56.99,81.83,81.83,66.93,56.99,0.003000,4788.5
9100,0.106568,56.99,82.30,82.14,67.08,56.99,0.003000,4841.0
9200,0.117978,56.99,82.30,81.68,67.08,56.99,0.003000,4894.5
9300,0.118305,57.14,82.92,82.45,67.39,57.14,0.003000,4947.8
9400,0.126323,57.61,82.76,82.30,67.55,57.61,0.003000,5000.8
9500,0.115864,56.83,83.07,82.45,66.15,56.83,0.003000,5054.2
9600,0.103123,56.37,82.92,82.30,66.30,56.37,0.003000,5107.1
9700,0.104970,57.14,83.54,82.76,66.93,57.14,0.003000,5159.7
9800,0.117626,57.14,83.23,82.61,67.24,57.14,0.003000,5212.9
9900,0.117388,56.99,82.92,83.07,66.77,56.99,0.003000,5266.8
10000,0.106130,57.30,83.07,82.45,66.93,57.30,0.003000,5320.1
10100,0.104254,56.83,82.45,81.99,66.93,56.83,0.003000,5373.8
10200,0.103475,56.37,81.99,82.30,66.15,56.37,0.003000,5426.4
10300,0.107769,56.52,82.14,82.14,65.99,56.52,0.003000,5480.1
