step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,6.337465,45.95,76.50,82.26,52.53,45.95,0.003000,37.9
200,3.057718,58.99,81.90,88.95,65.80,58.99,0.003000,75.4
300,2.527844,60.40,83.08,85.78,68.98,60.40,0.003000,112.3
400,2.214880,60.87,83.43,86.13,69.33,60.87,0.003000,149.7
500,2.001479,62.63,84.49,86.49,70.98,62.63,0.003000,187.3
600,1.834734,62.40,83.67,85.31,71.09,62.40,0.003000,224.7
700,1.691927,60.99,83.90,85.78,69.57,60.99,0.003000,262.4
800,1.575822,63.81,83.78,88.72,70.98,63.81,0.003000,300.1
900,1.482885,61.34,83.08,85.78,70.04,61.34,0.003000,336.9
1000,1.389704,62.16,83.67,86.96,70.86,62.16,0.003000,374.5
1100,1.326170,61.22,83.31,85.31,69.57,61.22,0.003000,408.8
1200,1.249377,62.28,83.90,86.84,70.98,62.28,0.003000,444.5
1300,1.182996,59.69,83.55,83.90,68.63,59.69,0.003000,478.1
1400,1.126419,59.69,82.84,84.84,68.63,59.69,0.003000,512.8
1500,1.082271,61.93,83.78,85.90,70.04,61.93,0.003000,555.7
1600,1.030432,62.16,83.78,87.31,70.15,62.16,0.003000,614.1
1700,0.988900,62.63,83.08,87.90,70.62,62.63,0.003000,673.0
1800,0.953845,59.93,82.49,84.84,68.86,59.93,0.003000,732.3
1900,0.916459,62.63,82.49,88.72,70.04,62.63,0.003000,792.5
2000,0.881549,61.10,82.84,86.13,69.57,61.10,0.003000,852.3
2100,0.854533,62.04,82.49,87.54,69.57,62.04,0.003000,912.2
2200,0.829227,58.64,82.84,82.84,68.16,58.64,0.003000,975.0
2300,0.801389,58.64,82.49,82.61,67.80,58.64,0.003000,1038.2
2400,0.774604,60.63,82.73,86.60,68.39,60.63,0.003000,1100.3
2500,0.746378,61.10,82.26,87.07,68.63,61.10,0.003000,1162.6
2600,0.730044,60.05,82.14,86.60,67.33,60.05,0.003000,1224.1
2700,0.710819,58.75,82.61,84.14,67.80,58.75,0.003000,1285.7
2800,0.683226,58.40,82.61,83.55,68.16,58.40,0.003000,1346.8
2900,0.666516,58.52,81.67,83.20,67.80,58.52,0.003000,1406.9
3000,0.646167,56.29,81.90,80.73,66.63,56.29,0.003000,1467.1
3100,0.632799,55.58,82.26,80.49,66.63,55.58,0.003000,1527.6
3200,0.623359,57.81,82.02,83.78,67.45,57.81,0.003000,1587.1
3300,0.600638,58.40,81.79,83.43,67.33,58.40,0.003000,1647.8
3400,0.589678,58.40,81.32,84.25,67.57,58.40,0.003000,1711.1
3500,0.577209,56.99,81.90,83.08,66.63,56.99,0.003000,1774.2
3600,0.558185,57.23,81.90,82.49,68.16,57.23,0.003000,1834.9
3700,0.548078,58.28,82.02,82.73,68.39,58.28,0.003000,1895.2
3800,0.539477,55.58,81.08,80.61,66.39,55.58,0.003000,1954.8
3900,0.534555,56.64,81.43,81.90,66.63,56.64,0.003000,2015.1
4000,0.500186,56.52,81.55,81.08,66.63,56.52,0.003000,2076.9
4100,0.473707,55.93,80.96,80.14,66.04,55.93,0.003000,2138.7
4200,0.451688,56.29,81.20,81.20,65.57,56.29,0.003000,2200.0
4300,0.441712,56.05,80.96,81.32,66.51,56.05,0.003000,2259.4
4400,0.429638,54.99,81.08,78.97,66.75,54.99,0.003000,2318.2
4500,0.416100,56.05,80.96,80.85,66.63,56.05,0.003000,2377.0
4600,0.405286,55.23,80.85,80.26,66.04,55.23,0.003000,2435.9
4700,0.403268,58.05,80.85,82.73,68.16,58.05,0.003000,2498.1
4800,0.390674,57.58,80.73,82.37,68.04,57.58,0.003000,2563.0
4900,0.378827,57.23,81.20,82.37,67.69,57.23,0.003000,2628.0
5000,0.374950,56.64,81.08,82.14,67.33,56.64,0.003000,2693.4
5100,0.367063,56.40,80.26,82.26,66.39,56.40,0.003000,2756.1
5200,0.358156,57.46,80.14,83.08,66.63,57.46,0.003000,2818.9
5300,0.350603,56.64,80.14,82.84,66.39,56.64,0.003000,2882.2
5400,0.342179,54.29,80.14,80.38,65.45,54.29,0.003000,2945.2
5500,0.340815,54.52,79.91,78.97,65.92,54.52,0.003000,3005.4
5600,0.332256,56.52,80.61,82.26,66.51,56.52,0.003000,3064.0
5700,0.335291,55.93,80.14,82.02,65.92,55.93,0.003000,3122.6
5800,0.323157,54.76,80.14,80.38,65.33,54.76,0.003000,3181.0
5900,0.317585,55.82,80.61,81.67,66.51,55.82,0.003000,3239.5
6000,0.313123,54.99,79.91,79.79,66.16,54.99,0.003000,3298.0
6100,0.312340,56.17,80.26,81.20,66.39,56.17,0.003000,3356.4
6200,0.301402,56.99,80.96,82.02,67.22,56.99,0.003000,3415.3
6300,0.302886,56.40,80.49,81.79,66.75,56.40,0.003000,3478.7
6400,0.296447,56.64,80.02,82.84,66.27,56.64,0.003000,3541.9
6500,0.292894,57.58,81.20,83.31,67.57,57.58,0.003000,3601.8
6600,0.286418,56.40,80.49,82.26,66.27,56.40,0.003000,3664.6
6700,0.286367,55.82,80.61,80.85,65.92,55.82,0.003000,3716.6
6800,0.280247,57.70,80.26,83.20,66.98,57.70,0.003000,3752.8
