step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,5.150048,43.01,75.16,74.38,51.71,43.01,0.003000,49.4
200,2.468931,52.95,81.83,81.52,60.56,52.95,0.003000,99.1
300,1.800922,54.81,82.30,81.06,64.60,54.81,0.003000,148.7
400,1.516668,58.07,84.47,83.07,66.15,58.07,0.003000,198.9
500,1.316637,56.37,83.85,82.30,65.37,56.37,0.003000,246.0
600,1.153698,58.54,83.54,83.23,68.17,58.54,0.003000,290.2
700,1.069531,57.14,82.61,82.14,65.84,57.14,0.003000,338.0
800,0.965707,57.92,83.54,82.30,67.86,57.92,0.003000,385.5
900,0.925987,57.76,82.30,81.83,67.55,57.76,0.003000,436.5
1000,0.889971,56.68,83.70,81.83,65.37,56.68,0.003000,491.1
1100,0.817983,56.21,83.54,83.39,65.06,56.21,0.003000,545.5
1200,0.757657,56.06,82.92,82.45,65.84,56.06,0.003000,599.6
1300,0.747245,56.37,82.92,82.61,65.22,56.37,0.003000,653.5
1400,0.703887,56.68,83.07,81.99,66.15,56.68,0.003000,704.7
1500,0.692650,55.59,83.23,82.14,63.98,55.59,0.003000,755.7
1600,0.626226,55.28,83.07,82.45,64.29,55.28,0.003000,800.8
1700,0.631281,56.52,82.76,81.68,66.61,56.52,0.003000,848.0
1800,0.605457,57.14,83.70,82.45,65.68,57.14,0.003000,897.0
1900,0.570231,56.83,84.78,82.30,66.46,56.83,0.003000,943.5
2000,0.556798,56.37,83.85,81.83,66.46,56.37,0.003000,989.6
2100,0.549350,56.37,84.16,82.30,64.91,56.37,0.003000,1036.2
2200,0.532467,57.61,84.01,81.99,66.61,57.61,0.003000,1083.0
2300,0.530865,55.43,82.92,82.14,64.29,55.43,0.003000,1129.7
2400,0.507338,56.52,83.39,81.68,65.37,56.52,0.003000,1173.9
2500,0.507007,56.99,83.85,82.45,65.53,56.99,0.003000,1218.7
2600,0.476647,56.06,82.92,81.52,64.60,56.06,0.003000,1263.3
2700,0.482655,55.75,83.39,82.14,64.29,55.75,0.003000,1310.3
2800,0.443868,56.06,82.14,81.21,65.53,56.06,0.003000,1355.6
2900,0.441709,57.14,83.39,82.30,66.30,57.14,0.003000,1401.8
3000,0.450260,57.14,83.23,82.30,66.15,57.14,0.003000,1448.0
3100,0.431252,56.68,82.76,81.06,66.15,56.68,0.003000,1495.1
3200,0.425060,57.30,83.07,82.14,65.68,57.30,0.003000,1541.5
3300,0.414983,57.45,83.07,81.68,65.99,57.45,0.003000,1587.6
3400,0.406896,56.68,82.30,81.83,65.53,56.68,0.003000,1633.5
3500,0.404151,56.99,83.39,81.99,65.84,56.99,0.003000,1680.2
3600,0.395471,57.92,83.54,82.61,66.30,57.92,0.003000,1726.0
3700,0.394056,57.92,82.92,82.14,66.30,57.92,0.003000,1772.0
3800,0.361813,56.21,82.45,81.06,64.75,56.21,0.003000,1818.1
3900,0.327933,57.61,83.54,82.45,65.06,57.61,0.003000,1863.5
4000,0.323995,57.30,83.07,82.14,65.53,57.30,0.003000,1909.3
4100,0.304843,57.92,82.92,82.30,66.15,57.92,0.003000,1955.2
4200,0.309681,57.92,83.23,82.14,66.30,57.92,0.003000,2001.2
4300,0.297263,57.76,83.07,82.14,66.30,57.76,0.003000,2047.5
4400,0.277496,57.30,82.92,82.14,65.22,57.30,0.003000,2093.7
4500,0.293552,58.23,83.70,82.45,66.46,58.23,0.003000,2141.3
4600,0.268222,57.92,83.07,82.30,66.77,57.92,0.003000,2187.2
4700,0.284182,57.45,83.07,81.99,66.15,57.45,0.003000,2234.2
4800,0.252746,57.45,82.61,81.99,65.37,57.45,0.003000,2279.7
4900,0.261981,58.07,83.39,82.14,66.30,58.07,0.003000,2326.1
5000,0.259042,57.14,82.76,81.37,65.37,57.14,0.003000,2372.1
5100,0.258367,58.07,82.92,81.68,66.30,58.07,0.003000,2418.5
5200,0.252143,57.61,82.92,81.99,66.15,57.61,0.003000,2465.3
5300,0.262097,58.23,82.61,81.68,66.61,58.23,0.003000,2512.2
5400,0.242638,57.30,82.45,81.21,66.30,57.30,0.003000,2558.2
5500,0.227664,57.45,82.61,81.83,65.84,57.45,0.003000,2604.0
5600,0.236652,57.30,82.14,81.68,66.30,57.30,0.003000,2649.8
5700,0.231261,56.37,81.83,81.06,65.37,56.37,0.003000,2696.2
5800,0.228798,56.68,82.30,81.21,65.84,56.68,0.003000,2743.7
5900,0.241321,56.68,81.99,80.90,65.84,56.68,0.003000,2790.5
6000,0.226898,57.92,83.23,81.68,66.15,57.92,0.003000,2836.8
6100,0.216771,56.21,82.30,80.59,65.53,56.21,0.003000,2883.6
6200,0.223058,56.99,82.14,80.59,65.53,56.99,0.003000,2929.9
6300,0.213168,57.45,82.76,81.06,65.68,57.45,0.003000,2976.1
6400,0.215761,56.68,82.76,81.21,65.22,56.68,0.003000,3022.6
6500,0.214935,56.99,82.45,80.75,65.99,56.99,0.003000,3068.7
6600,0.216137,56.83,82.45,80.90,65.37,56.83,0.003000,3115.3
