step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,6.053299,56.76,81.67,84.49,65.33,56.76,0.003000,70.8
200,2.654548,64.28,84.14,89.89,72.15,64.28,0.003000,146.3
300,2.133337,62.28,85.19,86.72,71.56,62.28,0.003000,219.6
400,1.842232,64.51,86.25,88.95,71.56,64.51,0.003000,292.7
500,1.630676,66.39,86.37,88.37,72.97,66.39,0.003000,366.0
600,1.477290,65.45,86.60,88.84,72.03,65.45,0.003000,440.0
700,1.352438,67.10,87.19,90.01,73.21,67.10,0.003000,514.3
800,1.245615,66.39,86.72,89.54,72.39,66.39,0.003000,587.7
900,1.157004,65.45,86.60,87.31,72.74,65.45,0.003000,660.8
1000,1.080553,66.75,86.49,89.78,72.62,66.75,0.003000,733.6
1100,1.027817,66.04,86.02,88.95,72.97,66.04,0.003000,806.6
1200,0.977024,66.39,86.37,88.84,72.62,66.39,0.003000,879.6
1300,0.927705,65.69,87.19,88.13,72.50,65.69,0.003000,952.8
1400,0.888785,63.81,86.84,86.72,70.39,63.81,0.003000,1025.7
1500,0.862601,64.16,85.78,86.96,71.33,64.16,0.003000,1098.7
1600,0.815057,65.69,86.37,88.25,71.21,65.69,0.003000,1171.8
1700,0.787533,65.33,86.60,88.25,71.56,65.33,0.003000,1246.3
1800,0.762232,64.86,86.13,86.96,71.68,64.86,0.003000,1318.3
1900,0.735943,62.98,86.13,84.02,71.33,62.98,0.003000,1390.2
2000,0.711499,65.45,86.02,88.13,71.92,65.45,0.003000,1461.1
2100,0.689094,63.92,85.66,87.19,70.62,63.92,0.003000,1532.5
2200,0.673555,64.16,85.90,87.66,70.98,64.16,0.003000,1607.8
2300,0.659309,63.69,85.31,87.19,71.09,63.69,0.003000,1683.0
2400,0.645245,65.33,85.31,88.95,71.80,65.33,0.003000,1758.4
2500,0.624773,64.04,85.08,87.90,70.86,64.04,0.003000,1836.6
2600,0.613612,62.16,85.08,85.66,70.62,62.16,0.003000,1911.6
2700,0.607250,62.40,85.66,86.13,69.92,62.40,0.003000,1987.2
2800,0.588222,64.63,86.37,87.78,72.15,64.63,0.003000,2067.7
2900,0.574268,58.99,85.19,81.67,68.74,58.99,0.003000,2149.8
3000,0.568239,62.98,85.19,85.66,71.09,62.98,0.003000,2231.5
3100,0.556502,63.34,86.02,85.90,70.98,63.34,0.003000,2313.8
3200,0.545829,63.10,85.55,86.37,71.80,63.10,0.003000,2394.8
3300,0.538477,63.22,85.78,85.90,71.45,63.22,0.003000,2476.0
3400,0.527371,62.75,85.08,85.31,71.33,62.75,0.003000,2556.7
3500,0.518610,63.34,85.55,85.31,71.21,63.34,0.003000,2638.0
3600,0.515110,59.11,85.19,81.67,69.33,59.11,0.003000,2719.3
3700,0.505328,60.28,85.78,83.08,69.68,60.28,0.003000,2798.2
3800,0.504077,62.87,86.60,84.84,71.45,62.87,0.003000,2873.2
3900,0.470994,61.10,86.96,83.67,70.04,61.10,0.003000,2946.2
4000,0.452516,62.04,85.66,84.49,70.51,62.04,0.003000,3019.7
4100,0.431961,63.57,86.25,86.02,73.33,63.57,0.003000,3094.0
4200,0.418650,62.63,86.02,85.08,71.68,62.63,0.003000,3168.4
4300,0.419063,62.40,86.25,85.08,71.45,62.40,0.003000,3242.4
4400,0.393750,61.34,86.13,83.20,70.62,61.34,0.003000,3316.3
4500,0.386467,60.40,85.90,84.14,69.92,60.40,0.003000,3390.1
4600,0.380425,61.34,86.02,83.31,70.27,61.34,0.003000,3463.9
4700,0.369404,62.51,86.02,84.37,71.21,62.51,0.003000,3537.4
4800,0.364349,61.10,86.13,82.61,70.74,61.10,0.003000,3616.0
4900,0.361558,60.99,85.31,83.55,70.74,60.99,0.003000,3699.1
5000,0.355362,60.99,84.72,83.43,69.92,60.99,0.003000,3782.5
5100,0.348211,61.22,85.55,83.08,70.86,61.22,0.003000,3866.1
5200,0.343533,60.16,85.66,82.61,70.15,60.16,0.003000,3949.4
5300,0.337549,61.34,85.78,83.31,70.04,61.34,0.003000,4029.0
5400,0.328939,61.34,86.13,83.20,70.39,61.34,0.003000,4106.0
5500,0.325222,62.98,85.66,85.31,71.21,62.98,0.003000,4185.5
5600,0.317514,61.10,85.90,83.78,70.27,61.10,0.003000,4267.3
5700,0.313241,62.28,85.55,85.66,70.62,62.28,0.003000,4346.1
5800,0.315788,61.69,86.02,85.19,70.15,61.69,0.003000,4422.4
5900,0.307769,62.28,86.02,84.61,70.86,62.28,0.003000,4499.5
6000,0.305007,61.10,85.55,84.14,70.51,61.10,0.003000,4576.5
6100,0.302692,61.22,85.19,82.96,70.04,61.22,0.003000,4651.6
6200,0.296815,61.69,84.84,85.31,70.27,61.69,0.003000,4738.1
6300,0.292298,60.16,84.96,82.37,70.39,60.16,0.003000,4889.8
6400,0.291050,60.52,84.96,83.31,70.51,60.52,0.003000,5042.8
6500,0.291417,60.28,84.49,83.78,69.68,60.28,0.003000,5193.4
6600,0.288887,61.93,84.61,84.96,70.74,61.93,0.003000,5344.1
6700,0.282009,62.28,85.08,84.72,71.09,62.28,0.003000,5496.8
